******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	ID	Unk1	Unk2	Name	Unk3
	0	0	210	0	Bull Fighter	0
	1	1	200	0	Hound	0
	2	2	100	0	Budge Dragon	0
	3	3	80	0	Spider	0
	4	4	230	0	Elite Bull Fighter	0
	5	5	245	0	Hell Hound	0
	6	6	180	0	LIch	0
	7	7	310	0	Giant	171
	8	8	210	0	Poison Bull Fighter	0
	9	9	215	0	Thunder Lich	171
	10	10	200	0	Dark Knight	171
	11	11	205	0	Ghost	171
	12	12	80	0	Larva	171
	13	13	220	0	Hell Spider	171
	14	14	200	0	Skeleton	171
	15	15	240	0	Skeleton Archer	0
	16	16	240	0	Chief Skeleton Warrior	0
	17	17	220	0	Cyclops	171
	18	18	300	0	Gorgon	171
	19	19	200	0	Yeti	0
	20	20	245	0	Elite Yeti	171
	21	21	190	0	Assassin	0
	22	22	180	0	Ice Monster	171
	23	23	230	0	Hommerd	0
	24	24	100	0	Worm	0
	25	25	270	0	Ice Queen	0
	26	26	130	0	Goblin	171
	27	27	110	0	Chain Scorpion	171
	28	28	170	0	Beetle Monster	171
	29	29	190	0	Hunter	171
	30	30	190	0	Forest Monster	171
	31	31	250	0	Agon	0
	32	32	300	0	Stone Golem	0
	33	33	175	0	Elite Goblin	171
	34	34	200	0	Cursed Wizard	0
	35	35	265	0	Death Gorgon	0
	36	36	190	0	Shadow	0
	37	37	225	0	Devil	0
	38	38	310	0	Balrog	171
	39	39	190	0	Poison Shadow	171
	40	40	225	0	Death Knight	171
	41	41	240	0	Death Cow	171
	42	43	100	0	Golden Budge Dragon	0
	43	44	0	0	Dragon	171
	44	45	120	0	Bahamut	0
	45	46	260	0	Vepar	171
	46	47	260	0	Valkyrie	0
	47	48	260	0	Lizard King	171
	48	49	220	0	Hydra	0
	49	50	0	0	Sea Worm	171
	50	51	160	0	Great Bahamut	0
	51	52	310	0	Silver Valkyrie	171
	52	53	300	0	Golden Titan	0
	53	54	220	0	Golden Soldier	171
	54	55	280	0	Death King	0
	55	56	200	0	Death Bone	171
	56	57	315	0	Iron Wheel	171
	57	58	340	0	Tantalos	0
	58	59	390	0	Zaikan	171
	59	60	210	0	Bloody wolf	0
	60	61	270	0	Beam Knight	171
	61	62	270	0	Mutant	0
	62	63	320	0	Death Beam Knight	171
	63	64	260	0	Ogre archer	0
	64	65	280	0	Elite Ogre	171
	65	66	360	0	Cursed king	0
	66	67	310	0	Metal Balrog	171
	67	68	0	0	Molt	0
	68	69	250	0	Alquamos	171
	69	70	260	0	Queen Rainier	0
	70	71	260	0	Mega Crust	171
	71	72	310	0	Phantom Knight	0
	72	73	280	0	Drakan	171
	73	74	280	0	Alpha Crust	0
	74	75	280	0	Great Drakan	171
	75	76	0	0	Phoenix Darkness shield	0
	76	77	330	0	Phoenix of Darkness	171
	77	78	130	0	Golden Goblin	0
	78	79	350	0	Golden Derkon	171
	79	80	260	0	Golden Lizard King	0
	80	81	260	0	Golden Vepar	171
	81	82	340	0	Golden Tantalos	0
	82	83	315	0	Golden Wheel	171
	83	84	250	0	Chief Skeleton Warrior	0
	84	85	250	0	Chief Skeleton Archer	171
	85	86	250	0	Dark Skull Soldier	0
	86	87	250	0	Giant Ogre	171
	87	88	200	0	Red Skeleton Knight	0
	88	89	260	0	Magic Skeleton	171
	89	90	250	0	Chief Skeleton Warrior	0
	90	91	250	0	Chief Skeleton Archer	171
	91	92	250	0	Dark Skull Soldier	0
	92	93	250	0	Giant Ogre	171
	93	94	200	0	Red Skeleton Knight	0
	94	95	260	0	Magic Skeleton	171
	95	96	250	0	Chief Skeleton Warrior	0
	96	97	250	0	Chief Skeleton Archer	171
	97	98	250	0	Dark Skull Soldier	0
	98	99	250	0	Giant Ogre	171
	99	100	0	0	Lance	171
	100	101	0	0	Iron Stick	0
	101	102	0	0	Fire	171
	102	103	0	0	Meteorite	0
	103	104	0	0	Trap	171
	104	105	0	0	Canon Trap	0
	105	106	0	0	Laser Trap	171
	106	111	200	0	Red Skeleton Knight	0
	107	112	260	0	Magic Skeleton	171
	108	113	250	0	Chief Skeleton Warrior	0
	109	114	250	0	Chief Skeleton Archer	171
	110	115	250	0	Dark Skull Soldier	0
	111	116	250	0	Giant Ogre	171
	112	117	200	0	Red Skeleton Knight	0
	113	118	260	0	Magic Skeleton	171
	114	119	250	0	Chief Skeleton Warrior	0
	115	120	250	0	Chief Skeleton Archer	171
	116	121	250	0	Dark Skull Soldier	0
	117	122	250	0	Giant Ogre	171
	118	123	200	0	Red Skeleton Knight	0
	119	124	260	0	Magic Skeleton	171
	120	125	250	0	Chief Skeleton Warrior	0
	121	126	250	0	Chief Skeleton Archer	171
	122	127	250	0	Dark Skull Soldier	0
	123	128	250	0	Giant Ogre	171
	124	129	200	0	Red Skeleton Knight	0
	125	130	260	0	Magic Skeleton	171
	126	131	350	0	Castle Gate	0
	127	132	1	0	Statue of Saint	171
	128	133	1	0	Statue of Saint	0
	129	134	1	0	Statue of Saint	171
	130	135	360	0	White wizard	0
	131	136	290	0	Destructive ogre soldier	171
	132	137	270	0	Destructive ogre archer	0
	133	138	250	0	Chief Skeleton Warrior	171
	134	139	250	0	Chief Skeleton Archer	0
	135	140	250	0	Dark Skull Soldier	171
	136	141	250	0	Giant Ogre	0
	137	142	200	0	Red Skeleton Knight	171
	138	143	260	0	Magic Skeleton	0
	139	144	250	0	Death Angel	0
	140	145	360	0	Death Centurion	0
	141	146	285	0	Blood Soldier	171
	142	147	295	0	Aegis	171
	143	148	250	0	Rogue Centurion	0
	144	149	270	0	Necron	171
	145	150	250	0	Bali	0
	146	151	260	0	Soldier	171
	147	152	0	0	Magic stone of %s 	0
	148	153	0	0	Magic stone of %s 	171
	149	154	0	0	Magic stone of %s 	0
	150	155	0	0	Magic stone of %s 	171
	151	156	0	0	Magic stone of %s 	0
	152	157	0	0	Magic stone of %s 	171
	153	158	0	0	Magic stone of %s 	0
	154	160	400	0	Schriker	171
	155	161	500	0	Illusion of Kundun	0
	156	162	0	0	Chaos Castle 1	171
	157	163	0	0	Chaos Castle 2	0
	158	164	0	0	Chaos Castle 3	171
	159	165	0	0	Chaos Castle 4	0
	160	166	0	0	Chaos Castle 5	171
	161	167	0	0	Chaos Castle 6	0
	162	168	0	0	Chaos Castle 7	171
	163	169	0	0	Chaos Castle 8	0
	164	170	0	0	Chaos Castle 9	171
	165	171	0	0	Chaos Castle 10	0
	166	172	0	0	Chaos Castle 11	171
	167	173	0	0	Chaos Castle 12	0
	168	174	250	0	Death Angel	0
	169	175	360	0	Death Centurion	0
	170	176	285	0	Blood Soldier	171
	171	177	295	0	Aegis	171
	172	178	250	0	Rogue Centurion	0
	173	179	270	0	Necron	171
	174	180	400	0	Schriker	171
