******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	Name	Level	Damage / M.S.T Lua Ref	Mana	Agility	Distance	TimeDelay	Req.Energy	Req.Level	Property	UseType	Brand	Req.Status[0]	Req.Status[1]	Req.Status[2]	Req.Status[3]	Req.Status[4]	Req.Status[5]	DW	BK	ELF	MG	DL	SUM	RF	GL	IconIndex	SkillType	v1	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28
	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1	Poison	30	12	42	0	6	0	100	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	50	-1	150
	2	Meteorite	21	21	12	0	6	0	100	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	45	-1	190
	3	Lightning	13	17	15	0	6	0	100	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	40	-1	180
	4	Fire Ball	5	8	3	0	6	0	100	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	30	-1	197
	5	Flame	35	25	50	0	6	0	100	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	100	-1	120
	6	Teleport	17	0	30	0	6	0	100	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	-1	-1	-1	-1	100
	7	Ice	25	10	38	0	6	0	100	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	45	-1	150
	8	Twister	40	35	60	0	6	0	100	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	90	-1	140
	9	Evil Spirit	50	45	90	0	6	0	100	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	150	-1	110
	10	Hellfire	60	120	160	0	0	0	100	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	3	-1	200	-1	130
	11	Power Wave	9	14	5	0	6	0	100	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	30	-1	195
